Protein A,Protein B,GO similarity under BP term,GO similarity under MF term,GO similarity under CC term
Q0050,YER142C,0.523,0.084,0.74
Q0080,YBL099W,0.098,0.553,0.64
Q0080,YJR121W,0.098,0.529,0.087
Q0085,YBL099W,0.89,0.553,0.64
Q0085,YDR298C,1,0.553,1
Q0085,YDR377W,0.89,0.553,1
Q0085,YJR121W,0.89,0.529,0.087
Q0085,YKL016C,1,0.553,1
Q0085,YML081C-A,0.025,1,0.338
Q0085,YPL078C,0.018,0.529,1
Q0130,YBL099W,0.098,0.058,0.64
Q0130,YJR121W,0.098,0.056,0.087
Q0250,YBR024W,0.193,0.068,0.673
Q0250,YBR037C,0.193,0.068,0.767
Q0250,YER154W,0.094,0.323,0.187
Q0275,YER154W,0.094,0.323,0.099
R0020C,YBL056W,0.024,0.234,0.506
R0020C,YBR217W,0.071,0.323,0.506
R0020C,YDR523C,0.049,0.242,1
R0030W,YOR101W,0.446,0.234,0.166
R0030W,YOR351C,0.117,0.226,1
YAL001C,YBR123C,0.728,1,0.622
YAL002W,YCL018W,0.047,0.077,0.574
YAL002W,YDR171W,0.145,0.252,0.565
YAL002W,YGL206C,0.842,0.185,0.667
YAL002W,YKR026C,0.046,0.185,0.517
YAL002W,YLR148W,0.389,0.226,0.536
YAL002W,YLR396C,0.273,0.139,0.659
YAL002W,YMR231W,1,0.754,0.824
YAL002W,YPL045W,0.145,0.287,0.565
YAL003W,YBR118W,0.033,1,0.672
YAL003W,YKL081W,0.948,1,1
YAL003W,YML064C,0.145,0.409,0.279
YAL004W,YGL181W,0,0,0
YAL004W,YML109W,0,0,0
YAL005C,YAR002W,0.058,0.129,0.506
YAL005C,YCL028W,0.185,0.234,0.506
YAL005C,YDR192C,0.159,0.129,0.157
YAL005C,YHR069C,0.267,0.234,0.621
YAL005C,YLR310C,0.063,0.129,0.425
YAL005C,YLR335W,0.202,0.129,0.599
YAL005C,YLR347C,0.05,0.05,0.289
YAL005C,YNL007C,0.324,0.076,0.506
YAL005C,YNL064C,0.092,0.082,1
YAL005C,YNL077W,0.625,0.101,0.599
YAL005C,YOR098C,0.159,0.129,0.234
YAL005C,YOR151C,0.339,0.076,0.599
YAL005C,YOR160W,0.057,0.05,1
YAL005C,YPL240C,0.153,0.101,1
YAL005C,YPR010C,0.323,0.066,0.282
YAL007C,YAR002C-A,0.505,1,1
YAL007C,YBR036C,0.037,0.643,0.346
YAL007C,YBR183W,0.043,0.477,0.159
YAL007C,YCL025C,0.842,0.182,0.327
YAL007C,YDL054C,0.842,0.643,1
YAL007C,YDR087C,0.046,1,0.126
YAL007C,YDR101C,0.249,0.323,0.088
YAL007C,YDR127W,0.048,0.323,0.157
YAL007C,YEL002C,0.048,0.255,0.239
YAL007C,YEL063C,0.357,0.149,0.522
YAL007C,YER110C,0.05,0.383,0.372
YAL007C,YGL200C,0.498,1,1
YAL007C,YGR060W,0.088,0.477,1
YAL007C,YHR026W,0.842,0.209,0.549
YAL007C,YHR110W,1,1,1
YAL007C,YHR140W,0.323,1,0.549
YAL007C,YJL117W,0.842,0.383,0.549
YAL007C,YLR342W,0.082,0.207,0.07
YAL007C,YML012W,0.505,1,0.549
YAL007C,YMR290C,0.046,0.208,0.076
