Protein A,Protein B,GO similarity under BP term,GO similarity under MF term,GO similarity under CC term,Combined Score
Q0050,YER142C,0.523,0.084,0.74,227.0
Q0080,YBL099W,0.098,0.553,0.64,999.0
Q0080,YJR121W,0.098,0.529,0.087,999.0
Q0085,YBL099W,0.89,0.553,0.64,999.0
Q0085,YDR298C,1.0,0.553,1.0,999.0
Q0085,YDR377W,0.89,0.553,1.0,986.0
Q0085,YJR121W,0.89,0.529,0.087,999.0
Q0085,YKL016C,1.0,0.553,1.0,999.0
Q0085,YML081C-A,0.025,1.0,0.338,999.0
Q0085,YPL078C,0.018,0.529,1.0,999.0
Q0130,YBL099W,0.098,0.058,0.64,999.0
Q0130,YJR121W,0.098,0.056,0.087,999.0
Q0250,YBR024W,0.193,0.068,0.673,946.0
Q0250,YBR037C,0.193,0.068,0.767,999.0
Q0250,YER154W,0.094,0.323,0.187,943.0
Q0275,YER154W,0.094,0.323,0.099,796.0
R0020C,YBL056W,0.024,0.234,0.506,
R0020C,YBR217W,0.071,0.323,0.506,
R0020C,YDR523C,0.049,0.242,1.0,
R0030W,YOR101W,0.446,0.234,0.166,
R0030W,YOR351C,0.117,0.226,1.0,
YAL001C,YBR123C,0.728,1.0,0.622,999.0
YAL002W,YCL018W,0.047,0.077,0.574,
YAL002W,YDR171W,0.145,0.252,0.565,173.0
YAL002W,YGL206C,0.842,0.185,0.667,404.0
YAL002W,YKR026C,0.046,0.185,0.517,457.0
YAL002W,YLR148W,0.389,0.226,0.536,999.0
YAL002W,YLR396C,0.273,0.139,0.659,999.0
YAL002W,YMR231W,1.0,0.754,0.824,999.0
YAL002W,YPL045W,0.145,0.287,0.565,999.0
YAL003W,YBR118W,0.033,1.0,0.672,999.0
YAL003W,YKL081W,0.948,1.0,1.0,999.0
YAL003W,YML064C,0.145,0.409,0.279,182.0
YAL004W,YGL181W,0.0,0.0,0.0,250.0
YAL004W,YML109W,0.0,0.0,0.0,708.0
YAL005C,YAR002W,0.058,0.129,0.506,676.0
YAL005C,YCL028W,0.185,0.234,0.506,907.0
YAL005C,YDR192C,0.159,0.129,0.157,356.0
YAL005C,YHR069C,0.267,0.234,0.621,311.0
YAL005C,YLR310C,0.063,0.129,0.425,341.0
YAL005C,YLR335W,0.202,0.129,0.599,393.0
