Protein A,Protein B,GO similarity under BP term,GO similarity under MF term,GO similarity under CC term
YNL182C,Q0032,0,0,0
YML081C-A,Q0085,0.025,1,0.338
YDR377W,Q0085,0.89,0.553,1
YPL078C,Q0085,0.018,0.529,1
YKL016C,Q0085,1,0.553,1
YDR298C,Q0085,1,0.553,1
YJR121W,Q0085,0.89,0.529,0.087
YBL099W,Q0085,0.89,0.553,0.64
YOR026W,Q0092,0,0,0
YJR121W,Q0130,0.098,0.056,0.087
YBL099W,Q0130,0.098,0.058,0.64
YER154W,Q0275,0.094,0.323,0.099
YBR123C,YAL001C,0.728,1,0.622
YPL045W,YAL002W,0.145,0.287,0.565
YMR231W,YAL002W,1,0.754,0.824
YLR148W,YAL002W,0.389,0.226,0.536
YLR396C,YAL002W,0.273,0.139,0.659
YKR026C,YAL002W,0.046,0.185,0.517
YGL181W,YAL004W,0,0,0
YHR069C,YAL005C,0.267,0.234,0.621
YOR151C,YAL005C,0.339,0.076,0.599
YNL007C,YAL005C,0.324,0.076,0.506
YAR002W,YAL005C,0.058,0.129,0.506
YPR010C,YAL005C,0.323,0.066,0.282
YOR160W,YAL005C,0.057,0.05,1
YLR347C,YAL005C,0.05,0.05,0.289
YLR310C,YAL005C,0.063,0.129,0.425
YLR335W,YAL005C,0.202,0.129,0.599
YPL240C,YAL005C,0.153,0.101,1
YDR192C,YAL005C,0.159,0.129,0.157
YOR098C,YAL005C,0.159,0.129,0.234
YDR127W,YAL007C,0.048,0.323,0.157
YPR201W,YAL007C,0.842,0.235,1
YNL130C,YAL007C,0.03,0.255,0.327
YCL025C,YAL007C,0.842,0.182,0.327
YEL063C,YAL007C,0.357,0.149,0.522
YBR036C,YAL007C,0.037,0.643,0.346
YGR060W,YAL007C,0.088,0.477,1
YDR101C,YAL007C,0.249,0.323,0.088
YAR002C-A,YAL007C,0.505,1,1
YGL200C,YAL007C,0.498,1,1
YDL040C,YAL009W,0.086,0.11,0.099
YHR004C,YAL009W,0,0.869,1
YLR342W,YAL009W,0.275,0.13,0.07
YDR211W,YAL009W,0.093,0.185,0.131
YFL048C,YAL010C,0.362,0.318,0.346
YOR269W,YAL011W,0.052,0.383,0.39
YER081W,YAL011W,0.1,0.227,0.261
YHR158C,YAL011W,0.05,1,0
YOR127W,YAL011W,0.047,0.255,0.289
YDL181W,YAL011W,0.274,0.477,0.376
YMR300C,YAL012W,0.473,0.235,1
YPL149W,YAL012W,0.042,0.407,0.537
YIL034C,YAL014C,0.118,0.557,0.428
YER133W,YAL014C,0.1,0.214,0.34
YNL037C,YAL015C,0.199,0.252,0.579
YDR214W,YAL015C,0.29,0.139,0.599
YEL030W,YAL015C,0.298,0.128,1
YMR058W,YAL015C,0.048,0.085,0.275
YMR012W,YAL015C,0.093,0.106,0.599
YDL029W,YAL015C,0.037,0.055,0.381
YPL152W,YAL016W,0.03,0.082,0.396
YGR161C,YAL016W,0.051,0.234,0.396
YAL024C,YAL016W,0.144,0.169,0.504
YNL127W,YAL016W,0.185,0.234,0.232
YDR482C,YAL016W,0.029,0.234,0.396
YHR082C,YAL016W,0.046,0.121,0.276
YHR158C,YAL016W,0.591,0.234,0
YDL188C,YAL016W,0.19,0.082,0.143
YGL190C,YAL016W,0.052,0.082,0.166
YOR014W,YAL016W,0.269,0.082,0.276
YDL134C,YAL016W,1,1,0.294
YOL113W,YAL016W,0.086,0.079,0.276
YPR160W,YAL017W,0.169,0.086,1
YCL027W,YAL017W,0.101,0.251,0.234
YDR099W,YAL017W,0.226,0.289,0.506
YLR264W,YAL018C,0.033,0.477,0.472
YLR034C,YAL018C,0.058,0.643,0.117
YDR331W,YAL018C,0.08,0.283,0.322
YCL025C,YAL018C,0.039,0.182,0.305
YBR290W,YAL018C,0.052,0.477,0.32
YBR036C,YAL018C,0.092,0.643,0.305
YLL028W,YAL018C,0.067,0.2,0.305
YHR026W,YAL018C,0.039,0.209,0.166
YBR160W,YAL019W,0.137,0.098,0.371
YFL028C,YAL021C,0.113,0.247,0.288
YNL288W,YAL021C,1,0.323,0.409
YKR036C,YAL021C,0.058,0.323,0.398
YGR134W,YAL021C,1,0.323,0.288
YHR158C,YAL024C,0.242,0.643,0
YBR160W,YAL024C,0.347,0.166,0.487
YOR005C,YAL025C,0.722,0.283,0.68
YDL192W,YAL026C,0.404,0.034,0.338
YBR196C,YAL027W,0.184,0.123,0.74
YLR044C,YAL027W,0.199,0.161,1
YOL086C,YAL027W,0.201,0.123,0.506
YDR174W,YAL027W,0.4,0.604,0.611
YPL022W,YAL027W,0.484,0.642,1
YML095C,YAL027W,0.341,0.045,0.624
YDR507C,YAL027W,0.182,0.123,0.276
YCL024W,YAL027W,0.054,0.128,0.506
YLR233C,YAL028W,0.062,0.235,0.117
YDL239C,YAL028W,0.163,1,0.086
YBR160W,YAL028W,0.106,0.226,0.107
YBL050W,YAL028W,0.09,0.383,0.596
YOL086C,YAL029C,0.089,0.066,0.379
YDR101C,YAL029C,0.079,0.18,0.437
YGL195W,YAL029C,0.069,0.1,0.381
YGL106W,YAL029C,0.226,0.18,0.212
YOR181W,YAL029C,0.08,0.106,0.192
YHR023W,YAL029C,0.164,0.033,0.212
YER110C,YAL029C,0.196,0.055,0.479
YFL039C,YAL029C,0.112,0.029,0.651
YMR186W,YAL029C,0.141,0.124,0.381
YBR109C,YAL029C,0.165,0.156,0.212
YGR009C,YAL030W,0.418,1,0.391
YBR160W,YAL031C,0.198,0.084,0.511
YLR338W,YAL032C,0,0,0
YDL209C,YAL032C,0.816,0.133,0.109
YMR288W,YAL032C,0.633,0.133,0.662
YGR278W,YAL032C,1,0.163,0.506
YGL128C,YAL032C,0.651,0.477,0.688
YGL120C,YAL032C,1,0.154,1
YDR364C,YAL032C,0.075,1,0.688
YLR423C,YAL032C,0.25,0.145,0.166
YPL213W,YAL032C,0.847,0.477,0.506
YMR213W,YAL032C,0.839,1,0.109
YLL036C,YAL032C,1,0.59,1
YJL203W,YAL032C,0.901,0.163,1
YOR036W,YAL032C,0.054,0.214,0.166
YLR117C,YAL032C,0.587,0.59,0.602
YBR017C,YAL032C,0.077,0.158,0.506
YOL086C,YAL034C,0.114,0.163,0.314
YKL103C,YAL034W-A,0.034,0.255,0.353
YJR091C,YAL034W-A,0.024,0.235,0.263
YGR120C,YAL034W-A,0.135,1,0.341
YLR175W,YAL035W,0.342,0.185,0.734
YGL130W,YAL035W,0.288,0.185,0.332
YCR038C,YAL036C,0.078,0.066,0.601
YMR012W,YAL036C,0.134,0.191,0.601
YBR160W,YAL040C,0.196,0.084,0.371
YIL079C,YAL041W,0.226,0.146,0.506
YJL008C,YAL041W,0.114,0.055,1
YPL161C,YAL041W,1,0.139,1
YER114C,YAL041W,0.089,0.139,0.513
YBR200W,YAL041W,0.059,0.123,0.506
YML130C,YAL042W,0.165,0.283,0.657
YML067C,YAL042W,0.28,1,0.657
YDL239C,YAL042W,0.14,1,0.254
YJL033W,YAL043C,0.658,0.076,1
YJR093C,YAL043C,0.821,0.267,0.576
YKR002W,YAL043C,0.784,0.084,1
YKL059C,YAL043C,0.821,0.25,0.576
YDR301W,YAL043C,1,1,0.576
YDR228C,YAL043C,0.821,0.171,1
YNL317W,YAL043C,1,1,1
YLR115W,YAL043C,0.821,1,0.585
YER133W,YAL043C,0.138,0.163,0.431
YJR063W,YAL045C,0,0,0
YEL061C,YAL047C,0.533,0.066,0.482
YPL093W,YAL047C,0.087,0.066,0.473
YNL188W,YAL047C,0.209,0.262,0.896
YHR158C,YAL047C,0.509,0.477,0
YLR429W,YAL047C,0.189,0.145,0.592
YIL061C,YAL047C,0.067,0.163,0.379
YMR001C,YAL047C,0.062,0.14,0.776
YGR218W,YAL047C,0.071,0.214,0.074
YMR047C,YAL047C,0.062,0.262,0.357
YNL094W,YAL049C,0.137,0.255,0.47
YOR153W,YAL053W,0.12,0.041,0.092
YML072C,YAL053W,0.229,0.109,0.291
YER100W,YAL053W,0.107,0.041,0.64
YLR083C,YAL053W,0.111,0.166,0.591
YAL026C,YAL053W,0.082,0.184,0.73
YLR292C,YAL053W,0.111,0.317,0.64
YLR342W,YAL053W,0.241,0.059,0.428
YOL044W,YAL055W,0.248,1,0.176
YMR026C,YAL055W,0.145,0.661,0.133
YDL065C,YAL055W,0.804,0.815,0.125
YDR265W,YAL055W,0.256,0.173,0.209
YOR098C,YAL055W,0.666,0.214,1
YER020W,YAL056W,0.123,0.289,1
YOL086C,YAL059W,0.064,0.477,0.506
YMR308C,YAL061W,0.156,0.112,0.506
YLR267W,YAL062W,0.329,0.323,0.173
YHR114W,YAL064W,0.283,0.477,0.314
YMR149W,YAL064W,0.095,0.477,0.16
YJR091C,YAL066W,0,0,0
YHR042W,YAL067C,0.041,0.205,0.125
YGL200C,YAR002C-A,0.28,1,1
YLR347C,YAR002W,0.199,0.129,0.517
YLR293C,YAR002W,0.199,0.066,0.506
YER110C,YAR002W,0.039,0.481,0.517
YDR385W,YAR002W,0.043,0.163,0.506
YLR335W,YAR002W,0.022,1,0.74
YBR160W,YAR002W,0.05,0.128,0.371
YMR047C,YAR002W,0.252,1,1
YJR113C,YAR003W,0.362,0.092,0.74
YDR140W,YAR003W,0.235,0.548,0.506
YER081W,YAR003W,0.254,0.044,0.506
YDR069C,YAR003W,0.169,0.108,0.506
YPL138C,YAR003W,0.15,0.06,1
YLR015W,YAR003W,0.168,1,0.431
YHR119W,YAR003W,0.111,0.923,0.551
YJL026W,YAR003W,0.254,0.112,0.506
YDR469W,YAR003W,0.168,1,1
YBR258C,YAR003W,1,1,1
YBL026W,YAR003W,0.248,0.056,0.472
YIR002C,YAR007C,0.672,0.133,0.548
YLR304C,YAR007C,0.129,0.073,0.253
YMR116C,YAR007C,0.046,0.133,0.306
YDR034C,YAR007C,0.165,0.673,0.548
YCR012W,YAR007C,0.154,0.067,0.438
YBR089C-A,YAR007C,0.549,0.673,0.548
YHR164C,YAR007C,0.623,0.032,0.73
YML032C,YAR007C,0.63,0.133,0.914
YOL090W,YAR007C,0.689,0.409,0.548
YER095W,YAR007C,0.853,0.771,0.914
YLR347C,YAR007C,0.042,0.125,0.46
YDR097C,YAR007C,0.054,0.673,0.548
YDL029W,YAR007C,0.051,0.191,0.449
YBR136W,YAR007C,0.308,0.067,0.438
YJR091C,YAR008W,0.459,0.042,0.359
YBL051C,YAR008W,0.066,0.058,0.365
YMR059W,YAR008W,1,1,0.111
YLR105C,YAR008W,0.614,1,1
YNL118C,YAR009C,0.527,0.084,0.515
YOL133W,YAR009C,0.078,0.428,1
YMR116C,YAR014C,0.021,0.181,0.506
YER155C,YAR014C,0.128,0.234,0.74
YMR116C,YAR018C,0.221,0.154,0.314
YGL181W,YAR018C,0.069,0.109,0.218
YDL239C,YAR018C,0.582,0.251,0.151
YNL223W,YAR019C,0.21,0.254,0.506
YHL048W,YAR023C,1,1,0.137
YDL217C,YAR023C,0.383,0.283,0.112
YJL093C,YAR027W,0.274,0.151,0.166
YIR033W,YAR027W,0.033,1,0.117
YLR214W,YAR027W,0.329,0.283,0.117
YNL125C,YAR027W,0.383,0.182,0.74
YDR406W,YAR027W,0.383,0.13,0.117
YIL111W,YAR027W,0.111,0.158,0.388
YPL094C,YAR027W,0.211,0.383,0.166
YJR040W,YAR027W,0.217,0.11,0.704
YPR128C,YAR027W,0.076,0.163,0.117
YOR273C,YAR027W,0.383,0.283,0.166
YOL156W,YAR027W,0.383,0.477,0.166
YMR264W,YAR027W,0.11,0.323,0.74
YGL129C,YAR027W,0.086,0.1,0.74
YDL198C,YAR027W,0.217,0.163,0.74
YOL030W,YAR027W,0.152,0.323,0.117
YLR018C,YAR027W,0.111,0.477,0.117
YIL016W,YAR027W,0.185,0.383,1
YGR014W,YAR027W,0.118,0.267,0.166
YEL063C,YAR027W,0.148,0.149,0.102
YBR106W,YAR027W,0.219,1,0.166
YAL023C,YAR027W,0.076,0.255,0.704
YGR284C,YAR027W,0.15,0.282,0.117
YGR060W,YAR027W,0.203,0.477,0.117
YBR135W,YAR027W,0.076,0.323,0.371
YMR149W,YAR027W,0.095,0.477,0.704
YJL002C,YAR027W,0.091,0.255,0.397
YIL004C,YAR027W,0.15,0.383,0.117
YGR055W,YAR028W,0.12,0.097,0.549
YML129C,YAR028W,0.109,1,0.136
YPR128C,YAR028W,0.076,0.163,0.549
YJL219W,YAR028W,0.214,0.201,0.549
YDR331W,YAR028W,0.067,0.283,0.205
YGL104C,YAR028W,0.091,0.318,0.136
YAR027W,YAR028W,1,1,0.166
YHR026W,YAR028W,0.383,0.209,1
YML067C,YAR028W,0.211,1,0.125
YJR091C,YAR030C,0,0,0
YAR027W,YAR030C,0,0,0
YCL025C,YAR031W,1,0.182,1
YJR091C,YAR031W,0.049,0.235,0.232
YHR110W,YAR031W,0.842,1,0.327
YDL054C,YAR031W,1,0.643,0.327
YBR217W,YAR031W,0.101,0.323,0.425
YHL048W,YAR033W,0.211,1,0.109
YPR198W,YAR033W,0.598,0.318,1
YGR260W,YAR033W,0.37,0.152,0.306
YLL028W,YAR033W,0.384,0.2,0.529
YPL076W,YAR033W,0.023,0.477,0.549
YLR381W,YAR035W,0.194,0.183,0.474
YLR447C,YAR035W,0.162,0.049,0.503
YLR295C,YAR035W,0.211,0.05,0.763
YER120W,YAR042W,0.032,0.575,0.276
YLR397C,YAR044W,0,0,0
YJR063W,YAR047C,0,0,0
YKR019C,YAR060C,0,0,0
YLR295C,YAR060C,0,0,0
YGL070C,YAR064W,0.084,0.255,0.117
YBR109C,YAR064W,0.21,0.283,0.155
YPR086W,YAR066W,0.183,0.182,0.383
YDR074W,YAR066W,0.189,0.234,0.173
YPL215W,YAR069C,0,0,0
YLR074C,YBL002W,0.091,0.19,0.321
YJL020C,YBL002W,0.409,0.216,0.395
YNL068C,YBL002W,0.161,1,0.46
YDR121W,YBL002W,0.085,0.733,0.533
YCL066W,YBL002W,0.05,0.878,0.345
YPR175W,YBL002W,0.09,0.084,0.345
YJR090C,YBL002W,0.096,0.133,0.345
YIL035C,YBL002W,0.096,0.078,0.46
YGR220C,YBL004W,0.254,0.133,0.49
