Protein A,Protein B,GO similarity under BP term,GO similarity under MF term,GO similarity under CC term,Combined Score
YNL182C,Q0032,0.0,0.0,0.0,
YML081C-A,Q0085,0.025,1.0,0.338,999.0
YDR377W,Q0085,0.89,0.553,1.0,986.0
YPL078C,Q0085,0.018,0.529,1.0,999.0
YKL016C,Q0085,1.0,0.553,1.0,999.0
YDR298C,Q0085,1.0,0.553,1.0,999.0
YJR121W,Q0085,0.89,0.529,0.087,999.0
YBL099W,Q0085,0.89,0.553,0.64,999.0
YOR026W,Q0092,0.0,0.0,0.0,
YJR121W,Q0130,0.098,0.056,0.087,999.0
YBL099W,Q0130,0.098,0.058,0.64,999.0
YER154W,Q0275,0.094,0.323,0.099,796.0
YBR123C,YAL001C,0.728,1.0,0.622,999.0
YPL045W,YAL002W,0.145,0.287,0.565,999.0
YMR231W,YAL002W,1.0,0.754,0.824,999.0
YLR148W,YAL002W,0.389,0.226,0.536,999.0
YLR396C,YAL002W,0.273,0.139,0.659,999.0
YKR026C,YAL002W,0.046,0.185,0.517,457.0
YGL181W,YAL004W,0.0,0.0,0.0,250.0
YHR069C,YAL005C,0.267,0.234,0.621,311.0
YOR151C,YAL005C,0.339,0.076,0.599,470.0
YNL007C,YAL005C,0.324,0.076,0.506,999.0
YAR002W,YAL005C,0.058,0.129,0.506,676.0
YPR010C,YAL005C,0.323,0.066,0.282,604.0
YOR160W,YAL005C,0.057,0.05,1.0,328.0
YLR347C,YAL005C,0.05,0.05,0.289,399.0
YLR310C,YAL005C,0.063,0.129,0.425,341.0
YLR335W,YAL005C,0.202,0.129,0.599,393.0
YPL240C,YAL005C,0.153,0.101,1.0,999.0
YDR192C,YAL005C,0.159,0.129,0.157,356.0
YOR098C,YAL005C,0.159,0.129,0.234,558.0
YDR127W,YAL007C,0.048,0.323,0.157,602.0
YPR201W,YAL007C,0.842,0.235,1.0,
YNL130C,YAL007C,0.03,0.255,0.327,187.0
