ID_REF,GSM77298,GSM77299,GSM77300,GSM77301,GSM77302,GSM77303,GSM77304,GSM77305,GSM77306,GSM77307,GSM77308,GSM77309,GSM77310,GSM77311,GSM77312,GSM77313,GSM77314,GSM77315,GSM77316,GSM77317,GSM77318,GSM77319,GSM77320,GSM77321,GSM77322,GSM77323,GSM77324,GSM77325,GSM77326,GSM77327,GSM77328,GSM77329,GSM77330,GSM77331,GSM77332,GSM77333,mean,std
YLR331C,0.055618618,0.073988438,0.120317824,0.055118114,0.030303033,0.026143791,0.013001083,0.09195403,0.088377729,0.062780268,0.079908676,0.06395939,0.157290474,0.079545453,0.065462753,0.059360731,0.109253071,0.031632651,0.013144589,0.056155507,0.108571425,0.036045313,0.096566521,0.067527309,0.145299137,0.114792898,0.081447966,0.063894525,0.078512393,0.033613447,0.108671792,0.090234853,0.053846158,0.068897635,0.061678458,0.034232363,0.071587456,0.033760167
YLR332W,1.994324565,1.805780292,1.173666358,1.147356629,0.940516353,0.930283248,0.83856988,1.067920566,3.21670723,1.644618869,2.239726067,2.690355301,2.165327311,1.929545522,1.509029269,0.821917832,1.030100346,0.888775468,0.864509583,2.977321863,2.731428623,2.197734118,2.706008434,2.676266193,2.572649479,1.478106499,1.255656123,1.015213013,1.010330558,0.857142866,0.97694844,3.526575804,2.535164833,2.319881916,2.673407316,2.965767384,1.81596206,0.816943903
YLR333C,6.207718849,5.685548782,7.723042488,8.091114044,8.329966545,7.448801517,6.802816868,8.758621216,11.02421284,8.02130127,7.337899685,7.411167145,5.122847557,5.736363888,6.98419857,5.460045815,10.25083637,7.114285469,6.03336668,8.867170334,6.296000004,6.90525198,7.762875557,5.192651749,5.852258682,5.423668385,7.071266651,8.424949646,7.313016415,7.883403778,7.673984528,10.81582165,6.581319332,8.344488144,8.014155388,7.818464279,7.382913947,1.430539463
YLR333C,22.51645851,11.07745647,19.84449577,17.49943733,17.20314407,18.38671112,19.45720482,23.99895477,50.00363159,33.29484177,36.15296936,24.93908501,15.49827862,12.37727261,14.69864559,17.03881264,23.16387939,16.66530609,19.61880684,32.13822937,36.33371353,24.51184464,24.52575111,20.65739822,25.64957237,14.42366982,18.35859871,15.59837818,17.62809944,18.91281509,22.45773888,40.59085083,28.93186951,20.94881821,21.2800808,21.81431389,22.72769819,8.186717717
YLR334C,0.005675369,0.004624277,0.049943246,0.013498314,0.004489338,0.030501088,0.006500542,0.008359457,0.012106538,0.005605381,0.050228313,0.007106599,0.006888635,0.013636365,0.050790068,0.011415525,0.025641026,0.006122449,0.005055611,0.024838012,0.004571429,0.004119465,0.00751073,0.004965243,0.007326008,0.033136096,0.005656109,0.034482762,0.003099174,0.005252101,0.005488474,0.004944376,0.007692308,0.00984252,0.008088979,0.003112033,0.013675388,0.01385128
YLR335W,2.220204353,1.906358242,2.366628885,1.8436445,1.734006763,1.860566497,1.684723616,2.013584137,3.176755428,1.928251266,2.340182781,2.655837536,2.165327311,1.9284091,1.809255123,1.739725947,2.066889524,1.733673334,1.847320437,2.687904835,2.93599987,2.417095661,2.82618022,2.370407104,2.623931646,2.113609552,1.9864254,1.758620739,1.586776853,1.801470637,1.962678432,2.978986263,2.278022051,2.288385868,2.733063459,2.856846333,2.200770825,0.425947658
YLR336C,0.657207727,0.635838151,0.656072617,0.905511856,1.127946138,1.001089334,1.069339037,1.022988558,2.917675495,0.491031408,0.603881299,1.389847636,0.475315779,0.474999994,0.738148987,0.643835664,1.512820482,1.360204101,0.977755249,2.53887701,0.89028573,0.745623052,0.916308999,1.083416104,0.601953626,0.604733706,0.835972905,0.980730236,1.216942191,1.491596699,1.032930851,4.370828152,0.647252798,0.806102395,0.938321531,0.895228207,1.090517047,0.747569664
YLR337C,3.346197367,3.784970999,3.570942163,3.767154217,3.144781351,3.406318188,2.66847229,2.531870604,1.211864471,1.84977591,2.005707741,1.730964422,3.834672928,3.438636541,3.729119539,3.828767061,3.464882851,2.948979616,2.792719841,2.397408247,3.593142748,2.177136898,2.498926878,3.026812315,3.726495981,4.142012119,3.295248747,2.196754694,2.200413227,2.295168161,2.762897968,1.672435045,3.476922989,1.912401557,2.016177893,2.381742716,2.85635823,0.760757073
YLR338W,0.026106697,0.028901733,0.191827461,0.156355456,0.017957352,0.039215684,0.03033586,0.064785786,0.111380145,0.028026907,0.025114156,0.023350254,0.095292777,0.069318183,0.040632054,0.1369863,0.035674471,0.013265305,0.027300302,0.042116631,0.042285714,0.017507724,0.011802576,0.021847071,0.035409037,0.123076923,0.059954755,0.032454364,0.026859503,0.076680675,0.017563118,0.063040785,0.020879121,0.007874016,0.011122346,0.018672198,0.049749262,0.043745347
YLR339C,0.315550506,0.089017339,0.167990923,0.084364459,0.191919208,0.15795207,0.276273012,0.355276912,0.417675555,0.28139016,0.239726037,0.261928916,0.312284768,0.186363637,0.177200899,0.344748884,0.372352302,0.220408157,0.237613738,0.369330466,0.410285741,0.249227598,0.206008598,0.18768619,0.352869362,0.039053254,0.106334843,0.114604473,0.263429761,0.286764711,0.291986853,0.281829387,0.140659347,0.313976377,0.262891799,0.118257247,0.241256486,0.0958116
YLR295C,29.91146469,26.66589737,32.16685486,22.47244263,15.67227936,10.69390011,14.95232868,12.48484898,13.65375423,20.60201836,32.72602844,24.74111557,29.53157425,25.42159271,24.12415123,16.34132385,15.13377953,13.82551003,12.21233559,14.14686775,22.53257179,21.32440758,25.23283195,20.12214661,29.2832737,29.08639145,23.84615517,17.1217041,13.15082645,15.90861416,16.15148354,14.25834274,26.07692337,21.38287354,26.29423523,26.56638908,20.99497885,6.327350643
YLR296W,0.264472187,0.116763011,0.17026107,0.15185602,0.14927049,0.077342048,0.162513539,0.101358414,0.177966103,0.205156952,0.389269382,0.389847726,0.258323789,0.209090918,0.162528217,0.015981736,0.139353395,0.075510204,0.106167838,0.070194386,0.355428576,0.237899065,0.296137333,0.353525311,0.269841284,0.170414194,0.245475128,0.116632864,0.1053719,0.12079832,0.143798038,0.145859078,0.253846169,0.192913383,0.296258837,0.380705386,0.196614786,0.096889357
YLR297W,1.585698009,3.213872671,3.719636917,3.665916681,4.057239056,4.177559853,4.202600002,2.95715785,1.439467311,1.572870016,1.890411019,1.082233429,1.863375545,3.438636541,2.793453693,2.48744297,4.86176157,3.648979664,3.662285089,2.068034649,1.973714232,1.455200791,1.075107217,1.021847129,2.438339472,3.211834192,3.424208403,3.420892477,3.751033068,4.290966511,4.806805611,1.885043144,2.495604515,1.771653533,1.183013082,1.241701126,2.717655473,1.144129365
YLR298C,0.700340509,0.897109807,1.055618644,0.942632198,0.940516353,1,0.97941494,0.996865213,1.415254235,0.470852047,0.952054858,0.91065985,0.673938036,1.139772773,1.227990985,0.929223776,1.358974338,1.100000024,0.864509583,1.26781857,0.903999984,0.662203908,0.692060113,0.827209592,0.946275949,1.268639088,1.176470637,1.105476737,1.306818128,1.268907666,1.217343688,1.224969029,0.718681335,0.704724371,0.869565189,0.836099505,0.987583102,0.224815966
