Protein,I_score,Oscore
YHR165C,93,0.000512719
YDL171C,62,0.000341812
YKR054C,87,0.00047964
YNR016C,83,0.000457588
YKL203C,62,0.000341812
YLR106C,71,0.00039143
YGL206C,96,0.000529258
YJL130C,79,0.000435535
YNL262W,91,0.000501693
YGL062W,52,0.000286681
YHR099W,74,0.00040797
YOR133W,97,0.000534771
YDR385W,97,0.000534771
YDL126C,96,0.000529258
YBL076C,96,0.000529258
YKL215C,82,0.000452075
YNL088W,96,0.000529258
YER070W,74,0.00040797
YLR304C,48,0.000264629
YJL050W,89,0.000490666
YGR094W,97,0.000534771
YDL102W,91,0.000501693
YGL195W,72,0.000396944
YPL082C,75,0.000413483
YDL145C,94,0.000518232
YMR189W,83,0.000457588
YKL210W,95,0.000523745
YNL132W,94,0.000518232
YIL048W,82,0.000452075
YOR341W,86,0.000474127
YOR304W,67,0.000369378
YOR335C,97,0.000534771
YGR218W,94,0.000518232
YER013W,68,0.000374891
YMR288W,93,0.000512719
YMR080C,83,0.000457588
YBR084W,34,0.000187446
YPL240C,62,0.000341812
YOR290C,54,0.000297708
YGL120C,82,0.000452075
YKL148C,82,0.000452075
YPL160W,92,0.000507206
YIL125W,93,0.000512719
YPR184W,71,0.00039143
YPL086C,92,0.000507206
YIL078W,93,0.000512719
YEL031W,86,0.000474127
YDR091C,88,0.000485153
YER171W,93,0.000512719
YHR023W,64,0.000352839
YGL150C,62,0.000341812
YPL167C,65,0.000358352
YIL143C,93,0.000512719
YGL022W,93,0.000512719
YOR326W,64,0.000352839
YDR170C,84,0.000463101
YLR086W,83,0.000457588
YLR069C,85,0.000468614
YBL022C,90,0.000496179
YPL217C,90,0.000496179
YPR181C,94,0.000518232
YBR127C,96,0.000529258
YPR160W,86,0.000474127
YDR238C,96,0.000529258
YOL021C,88,0.000485153
YEL011W,86,0.000474127
YBL023C,96,0.000529258
YKL104C,94,0.000518232
YBL099W,91,0.000501693
YHR074W,84,0.000463101
YER164W,74,0.00040797
YGL137W,93,0.000512719
YGL173C,67,0.000369378
YJR121W,92,0.000507206
YMR120C,65,0.000358352
YFL037W,97,0.000534771
YFR031C,85,0.000468614
YDL140C,90,0.000496179
YML085C,97,0.000534771
YGL167C,71,0.00039143
YFL039C,98,0.000540284
YJL111W,95,0.000523745
YFR015C,72,0.000396944
YGL201C,95,0.000523745
YDR037W,97,0.000534771
YDR212W,93,0.000512719
YBR196C,96,0.000529258
YLR389C,82,0.000452075
YHR183W,86,0.000474127
YER043C,96,0.000529258
YML035C,87,0.00047964
YIL075C,93,0.000512719
YPR019W,91,0.000501693
YOR048C,65,0.000358352
YJR064W,97,0.000534771
YLR398C,78,0.000430022
YMR089C,69,0.000380404
YKL145W,89,0.000490666
YBL039C,69,0.000380404
YJL074C,78,0.000430022
YGR061C,74,0.00040797
YDL007W,95,0.000523745
YLR274W,92,0.000507206
YDR190C,95,0.000523745
YDL143W,97,0.000534771
YBR202W,89,0.000490666
YOR291W,79,0.000435535
YHR186C,78,0.000430022
YLR259C,98,0.000540284
YJL014W,94,0.000518232
YER125W,78,0.000430022
YGR264C,79,0.000435535
YNL247W,95,0.000523745
YBR143C,93,0.000512719
YBR121C,80,0.000441048
YGL048C,95,0.000523745
YLR432W,38,0.000209498
YPL262W,86,0.000474127
YBR080C,95,0.000523745
YLR175W,93,0.000512719
YMR128W,33,0.000181932
YOR270C,91,0.000501693
YOR117W,94,0.000518232
YIL142W,97,0.000534771
YMR290C,92,0.000507206
YPL235W,94,0.000518232
YHR027C,96,0.000529258
YMR205C,55,0.000303221
YLR153C,73,0.000402457
YGL234W,81,0.000446561
YDL160C,92,0.000507206
YNR001C,35,0.000192959
YAL035W,92,0.000507206
YLL039C,73,0.000402457
YGL207W,93,0.000512719
YKL129C,7,3.85917E-05
YPL093W,95,0.000523745
YGR254W,77,0.000424509
YFR019W,74,0.00040797
YNL112W,79,0.000435535
YDR394W,91,0.000501693
YDR188W,98,0.000540284
YMR049C,93,0.000512719
YOR259C,96,0.000529258
YMR301C,91,0.000501693
YHR019C,77,0.000424509
YDL066W,65,0.000358352
YJL153C,82,0.000452075
YFR009W,75,0.000413483
YDL084W,91,0.000501693
YCL017C,98,0.000540284
YGL238W,93,0.000512719
YER036C,76,0.000418996
YER133W,93,0.000512719
YLR378C,94,0.000518232
YLR305C,68,0.000374891
YKL157W,41,0.000226037
YHR047C,51,0.000281168
YOR168W,82,0.000452075
YGL236C,79,0.000435535
YDR430C,80,0.000441048
YBR229C,92,0.000507206
YCR012W,96,0.000529258
YFL018C,86,0.000474127
YCR093W,92,0.000507206
YNL102W,90,0.000496179
YLR289W,91,0.000501693
YLR058C,84,0.000463101
YLL018C,97,0.000534771
YDL029W,85,0.000468614
YLR433C,41,0.000226037
YMR105C,90,0.000496179
